keys,en
AP7_DUNGEON_DJINNTERLUDE_NPC_SIREN_NAME,Sirenade
AP7_DUNGEON_DJINNTERLUDE_NPC_BAR_NAME,Lazy Ranger
AP7_DUNGEON_DJINNTERLUDE_NPC_BAR_MESSAGE_1,Apparently this place was hidden away for years without a customer.
AP7_DUNGEON_DJINNTERLUDE_NPC_BAR_MESSAGE_2,Exploring is hard work but sometimes you find a great spot to relax.
AP7_DUNGEON_DJINNTERLUDE_NPC_TABLE_NAME,Enthusiastic Ranger
AP7_DUNGEON_DJINNTERLUDE_NPC_TABLE_MESSAGE_1,They've even got live music! I wonder if they do requests?
AP7_DUNGEON_DJINNTERLUDE_NPC_DJINN_NAME,Dan Djinn
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_1_DOG,"Arf?"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_1_KAYLEIGH,"Is... That a Djinn Entonic working as a barkeep?"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_1_MEREDITH,"Huh? A monster is working... as a barkeep?"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_1_EUGENE,"What?! A monster behind the bar!"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_1_FELIX,"Huh? A Djinn Entonic is running the place!"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_1_VIOLA,"This is most unusual {player}! I've not been to a tavern with monsters behind the counter!"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_1,"Oh![pause] It's nothing that [wave amp=30 freq=10]unusual[wave]!"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_2,"I'm a ranger turned barkeep, but I find this monster form is excellent at serving customers!"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_3,"Ah! You must be here to investigate the [wave amp=30 freq=10]spooky cellar[/wave] as well?"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_3_OPTION_A,"Spooky cellar?"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_3_OPTION_B,"Maybe another time"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_3_OPTION_B_1,"My apologies. We might not look it but we're quite full right now."
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_3_OPTION_B_2,"Please do stop by another time."
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_4,"Indeed. To put it bluntly, our cook was most disappointed to find out our cellar vanished."
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_4_KAYLEIGH,"I'd not heard of something like that happening before..."
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_4_MEREDITH,"Huh. What? How does a cellar go missing?"
AP7_DUNGEON_DJINNTERLUDE_DJINN_INTRO_4_EUGENE,"This sounds suspicious {player}!"
